"material","provider","thickness","length","width","display","sheet_cost"
"Aluminum 7075-T6","online-metals",0.063,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.063",112.21
"Aluminum 7075-T6","online-metals",0.063,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.063",88.27
"Aluminum 7075-T6","online-metals",0.063,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.063",78.46
"Aluminum 7075-T6","online-metals",0.063,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.063",60.21
"Aluminum 7075-T6","online-metals",0.063,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.063",41.05
"Aluminum 7075-T6","online-metals",0.063,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.063",41.05
"Aluminum 7075-T6","online-metals",0.063,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.063",32.85
"Aluminum 7075-T6","online-metals",0.063,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.063",25.54
"Aluminum 7075-T6","online-metals",0.063,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.063",13.22
"Aluminum 7075-T6","online-metals",0.05,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.050",90.52
"Aluminum 7075-T6","online-metals",0.05,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.050",71.2
"Aluminum 7075-T6","online-metals",0.05,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.050",63.28
"Aluminum 7075-T6","online-metals",0.05,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.050",48.57
"Aluminum 7075-T6","online-metals",0.05,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.050",33.12
"Aluminum 7075-T6","online-metals",0.05,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.050",33.12
"Aluminum 7075-T6","online-metals",0.05,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.050",26.49
"Aluminum 7075-T6","online-metals",0.05,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.050",20.61
"Aluminum 7075-T6","online-metals",0.05,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.050",10.67
"Aluminum 7075-T6","online-metals",0.04,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.040",75.52
"Aluminum 7075-T6","online-metals",0.04,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.040",59.4
"Aluminum 7075-T6","online-metals",0.04,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.040",52.79
"Aluminum 7075-T6","online-metals",0.04,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.040",40.52
"Aluminum 7075-T6","online-metals",0.04,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.040",27.63
